,V,I,R
0,-2.0,-2.32458e-09,911267168.8343525
1,-1.9,-2.11358e-09,911267168.8343525
2,-1.7999999999999998,-2.00391e-09,911267168.8343525
3,-1.6999999999999997,-1.89066e-09,911267168.8343525
4,-1.5999999999999996,-1.78337e-09,911267168.8343525
5,-1.4999999999999996,-1.67131e-09,911267168.8343525
6,-1.3999999999999995,-1.56999e-09,911267168.8343525
7,-1.2999999999999994,-1.4627e-09,911267168.8343525
8,-1.1999999999999993,-1.35303e-09,911267168.8343525
9,-1.0999999999999992,-1.23978e-09,911267168.8343525
10,-0.9999999999999991,-1.1301e-09,911267168.8343525
11,-0.899999999999999,-1.02758e-09,911267168.8343525
12,-0.7999999999999989,-9.17912e-10,911267168.8343525
13,-0.6999999999999988,-8.05855e-10,911267168.8343525
14,-0.5999999999999988,-6.98566e-10,911267168.8343525
15,-0.49999999999999867,-5.8651e-10,911267168.8343525
16,-0.3999999999999986,-4.78029e-10,911267168.8343525
17,-0.2999999999999985,-3.68357e-10,911267168.8343525
18,-0.1999999999999984,-2.64645e-10,911267168.8343525
19,-0.09999999999999831,-1.57356e-10,911267168.8343525
20,1.7763568394002505e-15,-3.69549e-11,911267168.8343525
21,0.10000000000000187,6.55651e-11,911267168.8343525
22,0.20000000000000195,1.75238e-10,911267168.8343525
23,0.30000000000000204,2.82526e-10,911267168.8343525
24,0.40000000000000213,3.88622e-10,911267168.8343525
25,0.5000000000000022,4.98295e-10,911267168.8343525
26,0.6000000000000023,6.07967e-10,911267168.8343525
27,0.7000000000000024,7.15256e-10,911267168.8343525
28,0.8000000000000025,8.22544e-10,911267168.8343525
29,0.9000000000000026,9.2864e-10,911267168.8343525
30,1.0000000000000027,1.0395e-09,911267168.8343525
31,1.1000000000000028,1.14441e-09,911267168.8343525
32,1.2000000000000028,1.25527e-09,911267168.8343525
33,1.300000000000003,1.36137e-09,911267168.8343525
34,1.400000000000003,1.47223e-09,911267168.8343525
35,1.500000000000003,1.5831e-09,911267168.8343525
36,1.6000000000000032,1.69158e-09,911267168.8343525
37,1.7000000000000033,1.79768e-09,911267168.8343525
38,1.8000000000000034,1.90258e-09,911267168.8343525
39,1.9000000000000035,2.00868e-09,911267168.8343525
