,Vds,Ids,Vgs
0,0.0,1.68085e-10,-10
1,-0.2,-1.99887e-07,-10
2,-0.4,-3.7338e-07,-10
3,-0.6000000000000001,-5.29873e-07,-10
4,-0.8,-6.70285e-07,-10
5,-1.0,-7.9034e-07,-10
6,-1.2000000000000002,-8.96463e-07,-10
7,-1.4000000000000001,-9.894e-07,-10
8,-1.6,-1.07085e-06,-10
9,-1.8,-1.14085e-06,-10
10,-2.0,-1.2015e-06,-10
11,-2.2,-1.25112e-06,-10
12,-2.4000000000000004,-1.2941e-06,-10
13,-2.6,-1.32866e-06,-10
14,-2.8000000000000003,-1.35618e-06,-10
15,-3.0,-1.37872e-06,-10
16,-3.2,-1.39533e-06,-10
17,-3.4000000000000004,-1.40807e-06,-10
18,-3.6,-1.41801e-06,-10
19,-3.8000000000000003,-1.42557e-06,-10
20,-4.0,-1.43184e-06,-10
21,-4.2,-1.43624e-06,-10
22,-4.4,-1.43856e-06,-10
23,-4.6000000000000005,-1.44115e-06,-10
24,-4.800000000000001,-1.44203e-06,-10
25,-5.0,-1.44239e-06,-10
26,-5.2,-1.44222e-06,-10
27,-5.4,-1.44243e-06,-10
28,-5.6000000000000005,-1.44295e-06,-10
29,-5.800000000000001,-1.44262e-06,-10
30,-6.0,-1.44252e-06,-10
31,-6.2,-1.44087e-06,-10
32,-6.4,-1.44053e-06,-10
33,-6.6000000000000005,-1.43997e-06,-10
34,-6.800000000000001,-1.4395e-06,-10
35,-7.0,-1.4389e-06,-10
36,-7.2,-1.43751e-06,-10
37,-7.4,-1.43724e-06,-10
38,-7.6000000000000005,-1.43567e-06,-10
39,-7.800000000000001,-1.43453e-06,-10
40,-8.0,-1.43273e-06,-10
41,-8.200000000000001,-1.43153e-06,-10
42,-8.4,-1.42946e-06,-10
43,-8.6,-1.429e-06,-10
44,-8.8,-1.42756e-06,-10
45,-9.0,-1.42689e-06,-10
46,-9.200000000000001,-1.4253e-06,-10
47,-9.4,-1.4252e-06,-10
48,-9.600000000000001,-1.4233e-06,-10
49,-9.8,-1.42228e-06,-10
